"Year","Journal","COUNTRY","Urb.scale","Start.year","End.year","Comparator","birddomain1","birddomain2","birddomain3","birddomain4","Rec.","Rec.1","Rec.2","Rec.3","country.count"
2017,"Biologia","Poland","Patch","2014","2014","N","Survival",NA,NA,NA,"No","N/A",NA,NA,11
2013,"The Auk","USA","Multi-patch","2008","2009","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,96
2014,"Austral Ecology","Australia","Region","2008","2010","Y","Resources",NA,NA,NA,"No","N/A",NA,NA,38
2012,"Polish Journal of Ecology","South Korea","Patch","N/A","N/A","Y","Breeding","Resources","Behaviour",NA,"No","N/A",NA,NA,7
2016,"Urban Ecosystems","New Zealand","Patch","2012","2013","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,4
1979,"Canadian Journal of Zoology","Canada","Multi-patch","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,15
2015,"Urban Ecosystems","USA","Patch","2011","2012","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2006,"Urban Ecoystems","USA","Multi-patch","2001","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2020,"Journal of Urban Ecology","USA","Multi-patch","2014","2016","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,96
1986,"Urban Ecology","USA","Patch","1975","1979","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2020,"Journal of Urban Ecology","USA","Multi-patch","2017","2017","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,96
2007,"Landscape Ecological Applications in Man-Influenced Areas: Linking Man and Nature Systems","Japan","Patch","2002","2003","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,9
2011,"Journal of Environmental Studies","Iran","Patch","N/A","N/A","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,1
2015,"Alauda","Poland","Multi-patch","2008","2008","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2008,"The Canadian Field Naturalist","Canada","Multi-patch","2005","2007","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,15
2018,"Bird Study","Spain","Patch","2014","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2005,"Landscape and Urban Planning","Japan","Patch","2000","2000","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,9
2000,"Landscape and Urban Planning","South Korea","Multi-patch","1992","1993","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management","Restoration",7
2014,"The Wilson Journal of Ornithology","USA","Patch","1860","2012","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,96
2019,"Animal Biodiversity and Conservation","Spain","Patch","2014","2014","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2010,"Biological Conservation","Australia","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,38
2003,"Canadian Field Naturalist","Canada","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,15
2014,"Landscape and Urban Planning","Israel","Patch","2008","2009","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2018,"Proceedings of the National Academy of Sciences","USA","Patch","2013","2014","N","Survival","Breeding","Resources",NA,"Yes","Management",NA,NA,96
2020,"Urban Ecosystems","USA","Multi-patch","2010","2012","N","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,96
1994,"Journal of Zoology","Italy","Multi-patch","1986","1992","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,8
2019,"Forests","South Korea","Multi-patch","2005","2011","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,7
2016,"Journal of Environmental Management","Australia","Patch","2013","2013","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2018,"Urban Forestry & Urban Greening","USA","Patch","2011","2012","N","Behaviour","Biodiversity",NA,NA,"No","N/A",NA,NA,96
2021,"Sustainability","China","Multi-patch","2019","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,14
2015,"Urban Forestry & Urban Greening","USA","Multi-patch","2005","2009","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,96
2018,"Urban Ecosystems","Norway","Multi-patch","2003","2007","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,1
2016,"Landscape and Urban Planning","Australia","Multi-patch","2012","2013","N","Breeding","Biodiversity",NA,NA,"Yes","Management","Conservation",NA,38
2011,"Diversity and Distributions","USA","Multi-patch","2002","2006","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2018,"Urban Ecosystems","Australia","Patch","2014","2015","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,38
2021,"Urban Ecosystems","Germany","Multi-patch","2017","2017","N","Breeding","Biodiversity","Survival","Behaviour","Yes","Management",NA,NA,3
2007,"Biological Conservation","Australia","Patch","2001","2003","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2013,"Landscape and Urban Planning","USA","Multi-patch","2005","2009","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2014,"Animal Cells and Systems","Korea","Multi-patch","2008","2009","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,2
2021,"Basic and Applied Ecology","Germany","Patch","2017","2018","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,3
2010,"The Condor","USA","Multi-patch","2004","2007","Y","Behaviour",NA,NA,NA,"Yes","Conservation","Restoration",NA,96
2013,"Landscape and Ecological Engineering","Korea","Multi-patch","2006","2006","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,2
2021,"Urban Forestry & Urban Greening","Poland","Patch","2015","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2001,"Conservation Biology","Australia","Patch","1995","1995","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,38
2012,"Conservation Letters","Australia","Patch","2010","2010","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2003,"Landscape and Urban Planning","USA","Multi-patch","1998","1998","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2006,"Ecoscience","France","Multi-patch","2003","2003","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,6
2001,"Landscape Ecology","Sweden","Patch","N/A","N/A","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,3
2012,"Landscape and Urban Planning","France","Multi-patch","2005","2008","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,6
2014,"Urban Ecosystems","Canada","Multi-patch","2007","2009","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,15
2021,"Urban Forestry & Urban Greening","USA","Multi-patch","2014","2016","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2002,"Folia Zoologica","Slovakia","Patch","1992","1995","N","Breeding","Biodiversity",NA,NA,"Yes","Conservation","Management",NA,1
2008,"Biological Conservation","USA","Multi-patch","2002","2002","N","Biodiversity","Behaviour",NA,NA,"Yes","Conservation",NA,NA,96
2000,"Conservation Biology","Spain","Patch","1997","1998","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2014,"Ibis","United Kingdom","Patch","2003","2009","N","Breeding","Behaviour","Survival",NA,"Yes","Management",NA,NA,7
2015,"Biological Conservation","Australia","Multi-patch","2012","2013","Y","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,38
2005,"Northeastern Naturalist","USA","Multi-patch","2001","2003","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,96
2010,"Landscape and Urban Planning","Japan","Multi-patch","2007","2007","N","Biodiversity","Behaviour",NA,NA,"Yes","Management",NA,NA,9
2000,"Ecological Research","Spain","Patch","1998","1998","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,11
2007,"Bird Study","United Kingdom","Multi-patch","2002","2004","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,7
2019,"Landscape and Urban Planning","Switzerland","Multi-patch","2004","2012","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,2
2021,"Science of the Total Environment","Multiple (Greece, Finland)","Multi-patch","2016","2020","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2017,"Urban Forestry & Urban Greening","China","Patch","2016","2016","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,14
2020,"Landscape and Urban Planning","USA","Multi-patch","2002","2019","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2009,"Landscape and Urban Planning","Canada","Multi-patch","2006","2006","N","Breeding","Biodiversity",NA,NA,"Yes","Management","Restoration",NA,15
2017,"Journal of Applied Ecology","Australia","Multi-patch","2012","2013","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2018,"Avian Research","Austria","Multi-patch","2005","2017","N","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,3
2022,"Basic and Applied Ecology","China","Patch","2019","2020","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,14
2021,"Current Zoology","China","Patch","2019","2020","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Conservation",NA,NA,14
2020,"Avian Research","China","Patch","2019","2020","Y","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Conservation",NA,NA,14
2005,"Urban Ecosystems","USA","Region","2002","2003","Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,96
2021,"Ecological Society of America","USA","Multi-city","2017","2018","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2015,"Urban Forestry & Urban Greening","China","Patch","2009","2010","N","Biodiversity","Behaviour",NA,NA,"Yes","Management",NA,NA,14
2009,"Journal of Arboriculture","Italy","Patch","2005","2006","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,8
2018,"Ecosphere","Multiple","Multi-city","2013","2016","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,1
2013,"Urban Ecosystems","Australia","Multi-patch","2011","2011","Y","Behaviour","Biodiversity",NA,NA,"Yes","Management",NA,NA,38
2020,"Urban Ecosystems","France","Multi-patch","2003","2017","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,6
2014,"Urban Ecosystems","Prague","Multi-patch","2007","2008","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2021,"Urban Forestry & Urban Greening","Argentina","Multi-patch","2015","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2012,"Urban Ecosystems","Australia","Multi-patch","2008","2008","N","Biodiversity",NA,NA,NA,"Yes","Conservation","Management","Restoration",38
2016,"Urban Forestry & Urban Greening","Tokyo","Patch","2009","2010","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2013,"Ecosystems","New Zealand","Patch","2009","2009","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,4
2018,"Urban Forestry & Urban Greening","Multiple (Czech Republic, Poland, Italy, France)","Multi-city","2014","2014","Y","Demographics/Patterns","Breeding","Biodiversity",NA,"Yes","Management",NA,NA,1
2015,"Ecology and Evolution","Austria","Patch","2009","2013","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,3
2015,"Urban Ecosystems","USA","Multi-patch","2010","2011","Y","Biodiversity","Demographics/Patterns",NA,NA,"No","N/A",NA,NA,96
2013,"Landscape Ecology","Australia","Multi-patch","2010","2010","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2013,"Diversity and Distributions","Australia","Multi-patch","2009","2009","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,38
2008,"Biodiversity & Conservation","USA","Region","2001","2002","Y","Biodiversity",NA,NA,NA,"Yes","Management","Restoration",NA,96
2012,"Urban Ecosystems","USA","Region","2009","2010","N","Biodiversity","Breeding",NA,NA,"Yes","Management","Conservation",NA,96
2020,"Ecological Applications","USA","Patch","2016","2018","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2011,"Landscape and Urban Planning","Switzerland","Multi-city","2007","2007","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,2
2022,"Journal of Applied Ecology","USA","Patch","2010","2018",NA,"Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2014,"Urban Ecosystems","USA","Region","2006","2010","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2011,"Ecological Applications","USA","Multi-patch","2006","2008","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2008,"Biological Conservation","USA","Multi-patch","2003","2003","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,96
2014,"Urban Ecosystems","France","Patch","2005","2006","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,6
2009,"Urban Forestry & Urban Greening","Canada","Multi-patch","2001","2002","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,15
2009,"Urban Ecosystems","USA","Patch","2004","2005","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Restoration",NA,96
2016,"Pacific Conservation Biology","Australia","Multi-patch","2009","2009","Y","Behaviour",NA,NA,NA,"Yes","Conservation",NA,NA,38
2009,"Landscape and Urban Planning","Australia","Multi-patch","2006","2006","Y","Biodiversity",NA,NA,NA,"Yes","Restoration",NA,NA,38
2013,"Biological Conservation","France","Multi-patch","2009","2009","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,6
2020,"Urban Ecosystems","USA","Patch","2015","2015","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,96
2018,"Scientific Reports","USA","Multi-patch","2004","2009","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2004,"Conservation Biology","USA","Multi-patch","1998","1998","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2005,"Landscape and Urban Planning","Australia","Multi-patch","2002","2002","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2021,"Journal of Forestry Research","Japan","Patch","2015","2016","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,9
2019,"Sustainability","USA","Patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2021,"Applied Ecology and Environmental Research","Turkey","Patch","2019","2019","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2016,"Journal of Ecology","USA","Multi-patch","2013","2014","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2020,"Austral Ornithology","Australia","Multi-patch","2003","2012","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,38
2017,"Forests","Italy","Region","1992","2016","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,8
2009,"Landscape and Urban Planning","Australia","Multi-patch","2007","2007","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2021,"Avian Research","USA","Multi-patch","2009","2011","N","Behaviour",NA,NA,NA,"Yes","Conservation","Management",NA,96
2006,"Biological Conservation","USA","Multi-patch","2001","2002","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2022,"Urban Forestry & Urban Greening","Czech Republic","Multi-patch","2005","2008","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,2
2015,"Journal of Urban Planning and Development","USA","Multi-patch","2009","2012","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2017,"Ecological Applications","USA","Multi-patch","2013","2014","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,96
2010,"Journal of Biogeography","Sweden","Multi-city","2004","2004","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,3
2014,"Ecological Applications","USA","Patch","2012","2012","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2011,"Polish Journal of Ecology","Poland","Multi-patch","N/A","N/A","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,11
2011,"Biological Conservation","Australia","Patch","2008","2008","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
2018,"Urban Ecosystems","Italy","Multi-patch","2014","2014","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,8
2013,"Emu-Austral Ornithology","New Zealand","Multi-patch","2009","2010","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,4
2013,"Landscape and Urban Planning","China","Patch","1997","1997","Y","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,14
2018,"Diversity and Distributions","Australia","Multi-patch","2012","2014","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,38
1981,"Urban Ecology","USA","Multi-patch","1972","1972","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2018,"Journal of Urban Ecology","Canada","Multi-patch","2011","2017","Y","Behaviour",NA,NA,NA,"Yes","Conservation",NA,NA,15
2006,"Urban Ecosystems","Australia","Patch","2003","2003","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,38
2015,"Australian Zoologist","Australia","Region","1952","N/A","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,38
2017,"Journal of Urban Ecology","Austria","Patch","2005","2015","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,3
2013,"Journal of Natural History","USA","Multi-patch","2010","2010","N","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,96
2014,"Revista Catalana d'Ornitologia","Spain","Patch","1998","2013","N","Demographics/Patterns","Biodiversity",NA,NA,"Yes","Management",NA,NA,11
1989,"Australian Journal of Ecology","Australia","Multi-patch","1982","1983","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,38
2018,"AgroLife Scientific Journal","Romania","Patch","2015","2016","N","Biodiversity","Resources",NA,NA,"Yes","Management",NA,NA,1
2021,"Environment Canada","Canada","Multi-patch","N/A","N/A","N","Breeding",NA,NA,NA,"Yes","Management",NA,NA,15
2020,"Upper Mississippi/Great Lakes Joint Venture","United States","Region","N/A","N/A","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,2
1982,"The Condor","United States","Patch","1976","1976","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,2
2013,"British Trust for Ornithology","Poland","Multi-patch","1986","2012","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,11
